ts_micro,frame,wheel
1557077850594,1,0.0
1557077850644,2,0.0
1557077850694,3,0.0
1557077850744,4,0.0
1557077850794,5,0.0
1557077850844,6,0.0
1557077850894,7,0.0
1557077850944,8,0.0
1557077850994,9,0.0
1557077851044,10,0.0
1557077851094,11,0.0
1557077851144,12,0.0
1557077851194,13,0.0
1557077851244,14,0.0
1557077851294,15,0.0
1557077851344,16,0.0
1557077851394,17,0.0
1557077851444,18,0.0
1557077851494,19,0.0
1557077851544,20,0.0
1557077851594,21,0.0
1557077851644,22,0.0
1557077851694,23,0.0
1557077851744,24,0.0
1557077851794,25,0.0
1557077851844,26,0.0
1557077851894,27,0.0
1557077851944,28,0.0
1557077851994,29,0.0
1557077852044,30,0.0
1557077852094,31,0.0
1557077852144,32,0.0
1557077852194,33,0.0
1557077852244,34,0.0
1557077852294,35,0.0
1557077852344,36,0.0
1557077852394,37,-0.523598775598
1557077852444,38,-0.523598775598
1557077852494,39,-0.523598775598
1557077852544,40,-0.523598775598
1557077852594,41,0.0
1557077852644,42,0.0
1557077852694,43,0.0
1557077852744,44,0.0
1557077852794,45,0.0
1557077852844,46,0.0
1557077852894,47,0.0
1557077852944,48,0.0
1557077852994,49,0.0
1557077853044,50,0.0
1557077853094,51,0.0
1557077853144,52,0.0
1557077853194,53,0.0
1557077853244,54,0.0
1557077853294,55,0.0
1557077853344,56,0.523598775598
1557077853394,57,0.523598775598
1557077853444,58,0.523598775598
1557077853494,59,0.523598775598
1557077853544,60,0.0
1557077853594,61,0.0
1557077853644,62,0.0
1557077853694,63,0.0
1557077853744,64,0.0
1557077853794,65,0.0
1557077853844,66,0.0
1557077853894,67,0.0
1557077853944,68,0.0
1557077853994,69,0.0
1557077854044,70,0.0
1557077854094,71,0.0
1557077854144,72,0.0
1557077854194,73,0.0
1557077854244,74,0.0
1557077854294,75,0.0
1557077854344,76,0.0
1557077854394,77,0.0
1557077854444,78,0.0
1557077854494,79,0.0
1557077854544,80,0.0
1557077854594,81,0.0
1557077854644,82,0.0
1557077854694,83,0.0
1557077854744,84,0.0
1557077854794,85,0.0
1557077854844,86,0.0
1557077854894,87,0.0
1557077854944,88,0.0
1557077854994,89,0.0
1557077855044,90,0.0
1557077855094,91,0.0
1557077855144,92,0.0
1557077855194,93,0.0
1557077855244,94,0.0
1557077855294,95,0.0
1557077855344,96,0.0
1557077855394,97,0.0
1557077855444,98,0.0
1557077855494,99,0.0
1557077855544,100,0.0
1557077855594,101,0.0
1557077855644,102,0.0
1557077855694,103,0.0
1557077855744,104,0.0
1557077855794,105,0.0
1557077855844,106,0.0
1557077855894,107,0.0
1557077855944,108,0.0
1557077855994,109,0.0
1557077856044,110,0.0
1557077856094,111,0.0
1557077856144,112,0.0
1557077856194,113,0.0
1557077856244,114,0.0
1557077856294,115,0.0
1557077856344,116,0.0
1557077856394,117,0.0
1557077856444,118,0.0
1557077856494,119,0.0
1557077856544,120,0.0
1557077856594,121,0.0
1557077856644,122,0.0
1557077856694,123,0.0
1557077856744,124,0.0
1557077856794,125,0.0
1557077856844,126,0.523598775598
1557077856894,127,0.523598775598
1557077856944,128,0.523598775598
1557077856994,129,0.523598775598
1557077857044,130,0.523598775598
1557077857094,131,0.523598775598
1557077857144,132,0.523598775598
1557077857194,133,0.523598775598
1557077857244,134,0.523598775598
1557077857294,135,-0.523598775598
1557077857344,136,-0.523598775598
1557077857394,137,0.0
1557077857444,138,0.0
1557077857494,139,0.0
1557077857544,140,0.0
1557077857594,141,0.0
1557077857644,142,0.523598775598
1557077857694,143,0.523598775598
1557077857744,144,0.523598775598
1557077857794,145,0.523598775598
1557077857844,146,0.523598775598
1557077857894,147,0.523598775598
1557077857944,148,0.523598775598
1557077857994,149,-0.523598775598
1557077858044,150,0.0
1557077858094,151,0.0
1557077858144,152,0.0
1557077858194,153,0.0
1557077858244,154,0.0
1557077858294,155,0.0
1557077858344,156,0.0
1557077858394,157,0.0
1557077858444,158,0.0
1557077858494,159,0.0
1557077858544,160,0.0
1557077858594,161,0.0
1557077858644,162,0.0
1557077858694,163,0.0
1557077858744,164,0.0
1557077858794,165,0.0
1557077858844,166,0.0
1557077858894,167,0.523598775598
1557077858944,168,0.523598775598
1557077858994,169,0.523598775598
1557077859044,170,0.0
1557077859094,171,0.0
1557077859144,172,0.0
1557077859194,173,0.0
1557077859244,174,0.0
1557077859294,175,0.0
1557077859344,176,0.0
1557077859394,177,0.0
1557077859444,178,0.0
1557077859494,179,0.0
1557077859544,180,0.0
1557077859594,181,0.0
1557077859644,182,0.0
1557077859694,183,0.0
1557077859744,184,0.0
1557077859794,185,0.0
1557077859844,186,0.0
1557077859894,187,0.0
1557077859944,188,0.0
1557077859994,189,0.0
1557077860044,190,0.0
1557077860094,191,0.0
1557077860144,192,0.0
1557077860194,193,0.0
1557077860244,194,0.0
1557077860294,195,0.0
1557077860344,196,0.0
1557077860394,197,0.0
1557077860444,198,0.0
1557077860494,199,0.0
1557077860544,200,0.0
1557077860594,201,0.0
1557077860644,202,0.0
1557077860694,203,0.0
1557077860744,204,0.0
1557077860794,205,0.0
1557077860844,206,0.0
1557077860894,207,0.0
1557077860944,208,0.0
1557077860994,209,0.0
1557077861044,210,0.0
1557077861094,211,0.0
1557077861144,212,0.0
1557077861194,213,0.0
1557077861244,214,0.523598775598
1557077861294,215,0.523598775598
1557077861344,216,0.523598775598
1557077861394,217,0.523598775598
1557077861444,218,0.523598775598
1557077861494,219,0.523598775598
1557077861544,220,0.0
1557077861594,221,0.0
1557077861644,222,0.0
1557077861694,223,0.0
1557077861744,224,0.0
1557077861794,225,0.0
1557077861844,226,0.0
1557077861894,227,0.0
1557077861944,228,0.0
1557077861994,229,0.0
1557077862044,230,0.0
1557077862094,231,0.0
1557077862144,232,0.0
1557077862194,233,0.0
1557077862244,234,0.0
1557077862294,235,0.0
1557077862344,236,0.0
1557077862394,237,0.0
1557077862444,238,0.0
1557077862494,239,0.0
1557077862544,240,0.0
1557077862594,241,0.0
1557077862644,242,0.0
1557077862694,243,0.0
1557077862744,244,0.0
1557077862794,245,0.0
1557077862844,246,-0.523598775598
1557077862894,247,-0.523598775598
